question,question_type,option_a,option_b,option_c,option_d,answer,explanation,source
事故发生时，处置优先次序中第一位是什么？,single,保护人身安全,保存学术资料,清理现场痕迹,先恢复实验进度,A,手册应急指南要求事故发生时首先保护人身安全，其次保护公众财产安全，再保存学术资料。,pdf_manual_jinling_2024
电话求助时，应告知哪些信息？,multi,事故地点,事故性质和严重程度,求助者姓名、所处位置、联系电话,与事故无关的个人爱好,ABC,手册应急指南列明电话求助应说明事故地点、性质和严重程度，以及求助者姓名、位置和联系电话。,pdf_manual_jinling_2024
实验室发生火灾时，常用火警电话是？,single,110,119,120,122,B,手册常用电话中列明火警电话为 119。,pdf_manual_jinling_2024
实验室发生医疗急救需求时，常用急救电话是？,single,110,119,120,114,C,手册常用电话中列明医疗急救为 120。,pdf_manual_jinling_2024
进入实验室前，未经过相关安全教育并取得合格成绩的人员应如何处理？,single,不得进入实验室,可以在同学陪同下进入,只要不动设备就可以进入,填写承诺书即可进入,A,一般安全守则规定，未经相关安全教育并取得合格成绩的人员不得进入实验室。,pdf_manual_jinling_2024
实验人员应熟悉实验室环境中的哪些内容？,multi,水、电、气阀门位置,安全通道位置,灭火和应急设备位置及使用方法,无关人员的私人信息,ABC,手册要求实验人员熟悉水电气阀门、安全通道、急救电话、灭火和应急设备的位置与使用方法。,pdf_manual_jinling_2024
实验室内下列哪项行为是禁止的？,single,佩戴必要个人防护用品,保持消防通道通畅,吸烟、饮食或睡觉,实验结束后关闭水电气,C,手册明确实验室内禁止吸烟、饮食、睡觉、使用明火电器。,pdf_manual_jinling_2024
实验室内禁止吸烟、饮食和睡觉。,judge,正确,错误,,,T,手册一般安全守则明确实验室内禁止吸烟、饮食、睡觉、使用明火电器。,pdf_manual_jinling_2024
严禁穿露趾鞋、短裤进入实验室。,judge,正确,错误,,,T,一般安全守则明确严禁穿露趾鞋、短裤进入实验室。,pdf_manual_jinling_2024
开展危险实验时，可以由一名学生独自进行。,judge,正确,错误,,,F,手册要求进行危险实验时至少 2 人在场，不得擅自离岗。,pdf_manual_jinling_2024
实验结束后，最后一个离开实验室的人员必须检查并关闭什么？,single,整个实验室的水、电、气、门窗,只需关闭电脑显示器,只需带走个人物品,只需关闭空调,A,一般安全守则要求最后离开者检查并关闭整个实验室的水、电、气、门窗。,pdf_manual_jinling_2024
发生火灾、爆炸、危险品被盗或泄漏等安全事故时，应采取哪些措施？,multi,启动事故应急处理方案,采取有效应急措施,向学校主管部门、保卫处报告，必要时向相关行政主管部门报告,隐瞒事故以免影响实验进度,ABC,手册要求立即根据情况启动应急方案，采取措施并报告，事故经过和处理情况应记录存档。,pdf_manual_jinling_2024
实验室火灾隐患通常包括哪些？,multi,电器设备过载、线路老化或短路,易燃易爆、有毒有害化学品存放与使用不规范,消防通道不畅、废旧物品未及时清理,消防通道保持畅通,ABC,消防安全章节列举了电器过载、化学品管理不规范、消防通道不畅等火灾隐患。,pdf_manual_jinling_2024
实验室消防器材应放置在哪里？,single,便于取用的明显位置,锁在无人知道的柜子里,堆放在杂物后面,只放在楼外,A,手册要求消防器材放在便于取用的明显位置，指定专人管理并定期检查更换。,pdf_manual_jinling_2024
使用和储存易燃、易爆物品的实验室必须严禁烟火。,judge,正确,错误,,,T,防火防爆须知明确使用和储存易燃、易爆物品的实验室必须严禁烟火。,pdf_manual_jinling_2024
实验室中严禁用什么替代保险丝？,single,金属丝,合格熔丝,空气开关,漏电保护器,A,手册防火防爆须知要求不得乱接乱拉电线，严禁用金属丝代替保险丝。,pdf_manual_jinling_2024
电加热器、电烤箱等设备应做到人走电断。,judge,正确,错误,,,T,手册要求电加热器、电烤箱等设备做到人走电断。,pdf_manual_jinling_2024
氢、氧和乙炔不能混放一处，并应与使用火源保持多远以上距离？,single,1 米,3 米,10 米,30 米,C,手册规定氢、氧和乙炔不能混放一处，要与使用的火源保持 10 米以上距离。,pdf_manual_jinling_2024
火灾处理原则中的“四会”包括哪些？,multi,会报警,会使用灭火器,会灭初期火、会逃生,会隐瞒火情,ABC,手册列明“四会”为会报警、会使用灭火器、会灭初期火、会逃生。,pdf_manual_jinling_2024
报警时，下列哪项做法是正确的？,single,陈述火灾发生详细地址和起火物质、火势等情况,只说“着火了”就挂断,不报姓名和联系电话,等对方询问前先挂断,A,手册要求报警时说明详细地址、原因、起火物质与火势，并报姓名、位置和电话，切勿先挂断。,pdf_manual_jinling_2024
火灾逃生时，下列哪项是禁止的？,single,通过电梯逃生,用湿毛巾遮鼻,匍匐撤离,保持冷静按路线撤离,A,火灾逃生章节明确禁止通过电梯逃生。,pdf_manual_jinling_2024
身上着火时，正确做法是？,single,快速奔跑让火熄灭,迅速脱去衣服，或用水、就地打滚、覆盖厚重衣服灭火,继续实验,用手拍打火焰即可,B,手册指出身上着火应迅速脱衣或用水、就地打滚、覆盖厚重衣服等方式灭火，切不可奔跑。,pdf_manual_jinling_2024
大功率实验设备用电应使用专线，防止超负荷用电着火。,judge,正确,错误,,,T,水电安全章节要求大功率实验设备用电应使用专线，谨防超负荷用电着火。,pdf_manual_jinling_2024
发生电气火灾时，首先应做什么？,single,切断电源，尽快拉闸断电,立即用水扑救,继续使用设备,打开所有电器开关,A,手册要求发生电气火灾时首先切断电源，拉闸断电后再灭火。,pdf_manual_jinling_2024
